NPRODUCTO,CONCURSO,F1,F2,F3,F4,F5,F6,F7,F8,BOLSA,FECHA
20,2264,3,5,4,2,4,4,1,4,313000,10/08/2021
20,2263,1,3,3,5,2,1,5,4,304000,07/08/2021
20,2262,1,5,1,2,3,5,4,4,303000,05/08/2021
20,2261,3,2,3,3,3,1,5,1,302000,03/08/2021
20,2260,3,3,3,1,5,1,2,3,301000,31/07/2021
20,2259,4,2,4,1,3,5,1,3,300000,29/07/2021
20,2258,2,1,2,5,1,3,3,3,301000,27/07/2021
20,2257,2,4,1,2,4,5,2,2,300000,24/07/2021
20,2256,1,4,5,5,1,3,5,2,302000,22/07/2021
20,2255,5,5,5,4,2,5,4,4,301000,20/07/2021
20,2254,4,1,3,2,3,4,1,5,300000,17/07/2021
20,2253,4,2,2,3,4,4,1,3,477000,15/07/2021
20,2252,5,2,2,5,5,4,2,2,425000,13/07/2021
20,2251,4,5,4,4,2,3,5,5,375000,10/07/2021
20,2250,2,3,2,4,1,5,3,5,323000,08/07/2021
20,2249,3,5,4,1,2,1,5,4,304000,06/07/2021
20,2248,2,4,2,3,2,3,2,3,303000,03/07/2021
20,2247,1,4,3,5,1,4,3,3,302000,01/07/2021
20,2246,5,5,4,4,5,1,4,3,301000,29/06/2021
20,2245,4,1,5,3,1,2,5,2,300000,26/06/2021
20,2244,5,5,5,1,2,2,1,5,301000,24/06/2021
20,2243,1,1,1,1,4,5,1,5,300000,22/06/2021
20,2242,2,2,1,3,3,2,4,2,302000,19/06/2021
20,2241,1,1,1,2,3,4,1,1,301000,17/06/2021
20,2240,5,3,5,4,2,3,5,4,300000,15/06/2021
20,2239,4,1,4,4,1,2,2,2,304000,12/06/2021
20,2238,2,5,3,4,4,2,2,3,303000,10/06/2021
20,2237,1,2,4,5,5,4,4,2,302000,08/06/2021
20,2236,2,4,5,2,2,5,1,2,301000,05/06/2021
20,2235,5,1,2,2,5,2,1,1,300000,03/06/2021
20,2234,3,5,5,5,2,3,2,4,303000,01/06/2021
20,2233,3,5,5,2,1,5,5,1,302000,29/05/2021
20,2232,5,1,4,5,4,3,3,3,301000,27/05/2021
20,2231,2,4,3,5,1,3,2,1,300000,25/05/2021
20,2230,5,2,1,4,3,5,5,3,1113000,22/05/2021
20,2229,1,2,1,5,3,1,2,4,1000000,20/05/2021
20,2228,2,4,2,1,2,1,4,4,937000,18/05/2021
20,2227,4,5,3,4,1,3,1,2,857000,15/05/2021
20,2226,2,4,1,2,2,2,4,3,777000,13/05/2021
20,2225,4,3,1,1,3,1,4,3,707000,11/05/2021
20,2224,4,1,2,2,3,3,5,1,639000,08/05/2021
20,2223,2,3,3,5,5,3,3,2,575000,06/05/2021
20,2222,5,2,2,3,3,4,5,2,513000,04/05/2021
